filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,f0_mean,rms_mean,zcr_mean
./CREMA-D-master/AudioWAV/1001_DFA_ANG_XX.wav,-306.0274,92.670235,8.491312,23.965403,7.4779925,-5.7594557,-11.883088,-9.676736,-3.9967465,-13.352565,0.4081973,-9.709486,-6.1271243,1.7373896,-14.560826,-5.1761184,-2.4299388,-8.718916,-6.8973517,-7.056198,-6.9006705,-4.4338975,-1.6913428,-1.2350125,-3.4836795,-1.8677158,-2.5332427,-2.0326715,-1.6234651,-1.4753226,-3.0173366,-5.9252133,-4.9876523,-4.839286,-3.1651552,-3.5915518,-2.0218868,-1.1695162,0.62193656,1.1802764,0.0,0.041986194,0.10186767578125
./CREMA-D-master/AudioWAV/1001_DFA_DIS_XX.wav,-346.39963,95.83912,10.516282,31.619215,15.872088,-6.845447,-6.629935,-4.9787273,-5.3106537,-10.283518,-2.5343666,-7.2553897,-6.1539063,-3.6098607,-12.7190075,-3.1488278,-3.569028,-8.540991,-7.9496913,-3.837131,-5.5125556,-7.674406,-0.36889255,-0.36777255,-4.1415367,-0.38027692,-2.3996484,-0.4293852,-0.6621329,-0.6959169,-1.7271705,-4.7384424,-5.1164703,-2.1737604,-1.9942602,-1.597325,-2.7912023,-1.6456498,-1.6675984,-2.1963556,0.0,0.015996357,0.09306105522260275
./CREMA-D-master/AudioWAV/1001_DFA_FEA_XX.wav,-321.42026,94.76091,8.155397,23.323242,11.719157,-7.116331,-8.534803,-4.9969654,-4.9943995,-13.70651,-3.3574133,-8.454173,-6.5619407,-2.6931436,-11.711654,-5.71883,-4.9458027,-8.096901,-8.022043,-6.047218,-5.759248,-8.093865,-4.825103,-3.866705,-6.066938,-2.0516684,0.78670174,2.2669482,-0.165461,0.9637637,2.7267673,0.23175986,-0.08056619,-2.348613,-1.2823296,-1.3990079,-2.8138618,0.5087569,0.80788875,-0.86456263,0.0,0.045776337,0.08428596047794118
./CREMA-D-master/AudioWAV/1001_DFA_HAP_XX.wav,-303.30374,92.52889,4.2312317,27.970133,10.869824,-11.878345,-10.095113,-7.1497307,-7.6517596,-17.085901,-0.20102486,-8.867324,-9.357766,-0.48593423,-13.141247,-5.608707,-3.2124774,-8.372482,-6.29903,-3.303278,-4.1249843,-5.3746104,-5.3301315,-2.1182616,-7.0960197,-4.44333,-1.793019,-2.830765,-2.4890192,-0.18317218,-0.18654849,-1.5936905,-1.6294447,-1.5717878,1.631128,1.4878378,0.22953475,3.201811,1.2023416,0.13793467,0.0,0.042300183,0.0848781779661017
./CREMA-D-master/AudioWAV/1001_DFA_NEU_XX.wav,-335.4959,100.39331,9.384935,30.160906,11.466775,-3.33367,-8.350987,-9.757346,-6.079327,-12.109531,1.5376804,-9.795645,-3.47206,0.390185,-12.495291,-4.637796,-4.421584,-5.515663,-7.4800777,-5.7864656,-2.4738908,-7.8960238,-3.4097962,0.99402,-4.805587,-1.0441087,0.51070243,-0.6509101,-3.433124,-2.421229,0.043387458,-2.7921805,-2.941334,-3.25739,-1.1151273,-0.96294844,-2.4445295,-0.7878747,-1.3853943,-3.2671204,212.7818411944265,0.020449637,0.08203125
./CREMA-D-master/AudioWAV/1001_DFA_SAD_XX.wav,-365.18564,97.09256,15.7373495,34.221027,18.323439,-4.5814185,-6.389639,-4.8850236,-4.770392,-10.993266,-1.7111347,-8.973212,-5.371084,-3.8445725,-13.861986,-3.2064295,-5.0845566,-5.658219,-6.963691,-7.4237995,-5.1564827,-7.203324,-2.7834902,-0.24593672,-3.7664537,-1.8039212,-1.0801202,-2.1406846,-2.948747,-0.048915107,-2.102416,-2.61013,-3.0436502,-4.20158,-0.8177232,-2.0781987,-2.3396213,-0.93434656,-2.2817311,-2.9626148,0.0,0.01245468,0.08702256944444445
./CREMA-D-master/AudioWAV/1001_IEO_ANG_HI.wav,-270.18033,92.644684,4.134922,10.847631,-8.362823,0.5843758,-7.6005073,-11.471554,-4.967712,-15.289151,6.5688634,-13.339166,-6.8789277,-1.4913821,-18.601505,-2.874302,-10.699163,-5.8009934,-6.3640513,-5.1152,-5.703718,-5.420277,-2.131675,-2.1109502,-4.0656133,-1.4388435,-2.4815261,0.9352572,-2.9924064,-2.0169494,-2.870893,-4.7056375,-4.9541454,-6.485752,-2.0912592,-1.6947199,-2.608164,1.8309778,0.93241125,-0.3690306,0.0,0.04982936,0.11688332479508197
./CREMA-D-master/AudioWAV/1001_IEO_ANG_LO.wav,-360.06622,109.193436,12.335657,22.731333,6.9428005,1.8647586,-4.860094,-5.7404647,-3.9267452,-12.500737,2.2256699,-8.597423,-7.1583047,-5.684506,-13.92211,-0.40471685,-9.0430975,-5.441124,-6.1642165,-6.212717,-6.1408434,-5.3585787,-2.0143359,-2.3960686,-3.5312057,-0.70496416,-0.6234488,-1.3528205,-2.173086,-0.8990606,-0.5115271,-2.9051456,-2.9491527,-3.2141423,-2.838316,-2.2257502,-4.5575233,-2.9747329,-4.0281606,-3.9020307,0.0,0.016672034,0.07794471153846154
./CREMA-D-master/AudioWAV/1001_IEO_ANG_MD.wav,-333.4997,107.173935,10.298349,18.224262,0.75901777,2.7953928,-5.992716,-13.538232,-3.9273965,-11.00377,6.0223436,-13.519105,-6.353114,-3.871559,-14.970872,-0.56599736,-8.577669,-4.0246654,-6.627318,-4.3440022,-5.3911734,-6.08537,-0.5359552,-1.3415124,-3.387728,-0.3047477,-1.8128614,0.2513747,-3.802603,-0.12838088,-0.16668409,-3.935542,-4.1764436,-4.404537,-1.3173653,-2.1529071,-3.996715,-1.3378211,-0.3921168,-2.5925477,173.60159032522566,0.021257356,0.10023884600903614
./CREMA-D-master/AudioWAV/1001_IEO_DIS_HI.wav,-314.37982,94.22847,3.8098674,21.98912,-0.46367428,-0.9600562,-8.169247,-8.779708,-1.5632707,-11.4535675,2.1685424,-9.735218,-4.7711234,-5.9415402,-14.24465,1.3523006,-8.25986,-8.970156,-7.0484695,-4.2364163,-5.884031,-4.8302584,-3.5218213,-2.7401893,-2.9665534,-2.013985,-1.5830138,-1.0085723,-2.377887,0.6979558,-3.3581903,-3.629058,-2.9391022,-1.8210192,0.77032524,-0.93154144,-1.6571699,0.3430512,-1.4261566,-0.40376517,0.0,0.029184353,0.10757688492063493
