filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,f0_mean,pitch_variation,rms_mean,energy_stability,pause_frequency,pause_duration,speaking_rate,mfcc_variance,articulation_rate,label
./speech_audio/Unclear/HeStutters_22_68.wav,-416.4258,69.47033,-19.150875,27.05351,-15.986789,-15.333115,1.2713684,-18.272139,-10.839606,-6.1277623,-11.799827,-1.0064852,-2.767256,-3.787377,-2.7072563,-1.9028627,-2.433856,-3.0272393,-2.6481507,-0.79691005,-4.3644342,-4.791353,-3.1457531,-2.818467,-2.7445514,-0.77124316,-1.0051905,-0.33353043,-0.27872807,-1.2344788,-2.6122768,-2.170452,-2.8776727,-3.0413046,-2.6727295,-2.7480264,-0.05413203,2.3698795,2.3263369,3.5579822,216.9784647389438,26.771112674995116,0.05654792,0.061912686,33,1.056,61,5598.7305,0.05654792,Unclear
./speech_audio/Unclear/HeStutters_22_54.wav,-566.72046,60.961113,-39.41308,21.15266,-5.5850673,-13.3075,-0.5125847,-19.47232,3.5141187,6.302495,-9.160309,-1.8143175,-2.6791406,-1.8464502,-3.7852023,-7.2549667,-0.81573683,-3.7419782,-4.2999697,0.53976893,-3.3959334,-1.3346615,-0.03691778,-3.585522,0.8426031,-0.11948939,-2.2366142,0.4146734,-1.375762,-0.24300882,0.0688503,-0.8968261,0.14871722,-1.4678434,-0.90195894,-0.83895993,-0.9301817,-1.0024143,-2.218393,-0.3435588,145.00213435041286,6.684792396391565,0.0142349955,0.021374322,61,1.952,33,9131.046,0.0142349955,Unclear
./speech_audio/Unclear/StutterTalk_4_39.wav,-432.53455,70.205215,-29.945513,37.20106,-5.501009,-12.481258,-5.514846,-22.227188,-18.172203,-0.986009,-15.435612,-8.45288,-7.1502895,-8.035647,-0.08217747,-7.268656,-5.942458,2.1854997,-11.605182,-3.8176537,-3.506303,-8.96655,-4.582355,-6.374402,-6.23922,-2.9992592,-1.5834762,-1.5676731,-5.005087,-3.2116702,-3.8747425,-3.9819148,-4.637266,-2.8106585,-2.361458,-3.9831696,-1.9000995,-3.5933225,-4.204095,-2.338875,140.09096744221898,14.164184398065846,0.039442003,0.031349838,26,0.8320000000000001,68,6272.5615,0.039442003,Unclear
./speech_audio/Unclear/HeStutters_22_40.wav,-437.31653,16.83395,-18.30209,23.596708,-5.150335,-1.9008301,-0.64556843,-12.413762,0.35932374,-8.098729,-10.56573,0.048112962,-7.6900907,-1.86889,-3.558452,-6.2324476,-0.88441205,-2.8976173,-2.1560762,-3.885439,-3.1884372,1.7540275,-0.9797771,1.8741935,2.4828184,-0.4243266,0.7634564,-0.75045335,-0.26161,0.8391445,-1.6883755,0.38746232,0.05369058,-0.8958385,1.9773269,0.42513856,0.064709075,3.1401637,3.1025693,1.7583444,216.9726706264108,21.408982722984476,0.041728284,0.07977142,50,1.6,44,5496.69,0.041728284,Unclear
./speech_audio/Unclear/WomenWhoStutter_0_20.wav,-514.5197,15.142632,-6.9014697,4.209923,-3.4309447,-10.241661,-5.081814,-2.15046,-3.5754154,-3.9110096,-4.079338,-1.9327375,-2.9061399,-3.6542878,-1.7473758,-2.3337958,-5.011756,-1.821806,2.1658714,5.357314,6.106363,5.5176754,0.7407217,-1.7698374,-2.0765936,0.525808,1.1558877,-1.1808467,-2.6717741,-0.11848251,1.0193195,-0.06724236,-1.7962998,-1.6963457,0.12697373,-0.60846704,-2.3860652,-0.29850808,2.2748125,1.141361,203.71461711308066,25.41141243852017,0.017148016,0.048460614,78,2.496,16,6788.2007,0.017148016,Unclear
./speech_audio/Unclear/WomenWhoStutter_0_34.wav,-463.5925,43.14343,10.969152,9.994277,-6.9176564,-13.140657,-12.5108595,-12.230775,-12.323676,-6.4868283,-10.989595,-8.3505535,-7.438072,-10.241145,-9.416464,-4.863991,-7.11511,-4.051273,-4.049619,-3.4851596,-3.0254068,-4.0474014,0.5845104,3.1272404,6.7460365,7.0926394,8.077224,6.4644537,5.327862,4.4710703,2.9172966,2.7422497,-0.4541039,-0.94835144,-1.0340743,-1.0406826,-0.66495353,-1.2625239,-1.8308469,-1.5803422,186.3682937258819,48.77271054232958,0.047950353,0.07196388,52,1.6640000000000001,42,5839.233,0.047950353,Unclear
./speech_audio/Unclear/HeStutters_22_97.wav,-462.28964,63.944878,-3.3947752,14.501357,-4.5677495,-11.5668955,-6.1815042,-15.227233,-7.1549845,-4.4812937,-13.03381,-3.4994814,-3.0537672,-4.63398,-1.556422,-3.576468,-2.609245,-1.2453524,-3.5630653,-0.98669285,-1.7237344,-2.729674,-0.9771192,-1.7426306,-3.0243797,-0.8516076,-1.0962256,-1.0404006,-0.32005167,-0.9265202,-1.438986,-0.67855805,-1.5582689,-1.4014704,-0.52793753,-1.5262834,-0.8492133,-0.57999855,-1.7932827,-0.6282209,179.7541965450339,21.674275414889504,0.046957113,0.06881964,50,1.6,44,6336.59,0.046957113,Unclear
./speech_audio/Unclear/HeStutters_22_83.wav,-469.30295,82.680374,-27.079082,33.282745,3.517788,-30.561007,-14.074244,-26.260153,-14.966262,0.14820193,-6.8893304,-1.6536304,-3.080025,-1.2542205,-0.6701938,-9.0243845,-3.356148,-1.6947013,-6.5059257,-0.5138447,-1.4779618,-3.8678775,-0.4428092,-0.800841,-1.6529083,-0.3220311,-0.7826375,-1.1368148,-0.23788536,0.32004347,-0.7189311,0.3430722,0.48364535,-0.85581565,-1.352984,-1.6795831,-0.90211827,-0.79644746,-1.8828492,-0.73448825,168.8395415585998,16.337172056666173,0.026706213,0.037766643,42,1.344,52,6608.072,0.026706213,Unclear
./speech_audio/Unclear/StutterTalk_5_3.wav,-426.4875,58.269558,-21.862844,30.511688,7.4001784,5.564335,-15.030264,2.4713786,-2.8459496,-1.3971668,-3.6007068,-6.8843703,1.9137744,-0.5536179,4.203113,-3.0337136,-2.2594006,-3.0420544,-3.3843286,-4.4338036,-1.6856192,-7.7984643,-2.2962024,-2.1746614,-4.877973,-2.588458,-2.1786776,-0.40377527,-3.5430214,-1.4541491,-3.7829626,0.38465503,-3.047435,-3.6981454,-1.6288366,-1.6731447,1.0633415,-1.3494111,-2.106472,-0.800588,0.0,0.0,0.027327826,0.026534434,31,0.992,63,5860.2095,0.027327826,Unclear
./speech_audio/Unclear/WomenWhoStutter_0_157.wav,-528.95154,4.423941,-13.712444,8.24701,-17.180702,-16.390207,0.45402607,-5.2548933,-6.0509677,5.26856,-9.476891,-3.4141333,-3.9579973,-1.7088027,-3.3240905,-0.33862716,-1.1265618,-3.221755,0.28935868,0.17930439,-0.8152116,-0.5208836,-1.4981612,5.9473586,-0.88248676,2.4989712,1.425373,-1.3628886,-1.1602074,2.584326,-0.68659586,2.0571458,0.8992033,1.3837692,-0.72781706,0.20907769,-0.23834604,0.124372445,-0.45920202,-0.68504673,0.0,0.0,0.013980186,0.028293293,73,2.336,21,7444.36,0.013980186,Unclear
